model,MAE,RMSE,R2,MAPE_%,Accuracy_%
baseline_mean,286.1534113508333,375.24709627231954,-0.004435115164826087,69.17102911583066,30.828970884169337
linear_regression,157.43618960920472,227.69450911585312,0.630178358387792,35.18760243966348,64.81239756033652
decision_tree,128.60387250870826,197.77368634986416,0.7209871381019358,26.62704665082456,73.37295334917545
random_forest,93.30355595001146,146.62381172419816,0.8466456082651752,18.865895505980706,81.1341044940193
